objectid,uuid,iiifthumburl,iiifurl,title,attribution,attributioninverted,displaydate,beginyear,endyear,visualbrowsertimespan,medium,classification,subclassification,visualbrowserclassification,accessionnum,width,height,maxpixels,artist_name,nationality,vis_nationality,artist_born,artist_died,art_style,art_theme,local_path
1166,d9e7fbf2-accf-4fcd-9996-ffc204a8875b,"https://api.nga.gov/iiif/d9e7fbf2-accf-4fcd-9996-ffc204a8875b/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/d9e7fbf2-accf-4fcd-9996-ffc204a8875b,"Grand Canal with the Rialto Bridge, Venice",Francesco Guardi,"Guardi, Francesco",probably c. 1780,1780.0,1780.0,1776 to 1800,oil on canvas,Painting,,painting,1942.9.27,4958,3635,,"Guardi, Francesco",Italian,Italian,1712.0,1793.0,Baroque,architecture,/kaggle/working/nga_images/1166.jpg
1168,b4040d59-d7aa-4748-b785-9fb5d7041e44,"https://api.nga.gov/iiif/b4040d59-d7aa-4748-b785-9fb5d7041e44/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/b4040d59-d7aa-4748-b785-9fb5d7041e44,Portrait of a Gentleman,Frans Hals,"Hals, Frans",1650/1652,1650.0,1652.0,1601 to 1650,oil on canvas,Painting,,painting,1942.9.29,7209,9841,,"Hals, Frans",Dutch,Dutch,1582.0,1666.0,Baroque,portrait,/kaggle/working/nga_images/1168.jpg
1181,c6e0cea2-9175-4f75-9dd7-024d479d4478,"https://api.nga.gov/iiif/c6e0cea2-9175-4f75-9dd7-024d479d4478/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/c6e0cea2-9175-4f75-9dd7-024d479d4478,Judith with the Head of Holofernes,Andrea Mantegna or Follower (Possibly Giulio Campagnola),"Mantegna, Andrea or Follower (Possibly Giulio Campagnola)",c. 1495/1500,1495.0,1500.0,1401 to 1500,tempera on poplar panel,Painting,,painting,1942.9.42,2947,4924,,"Mantegna, Andrea",Italian,Italian,1431.0,1506.0,Renaissance,religious,/kaggle/working/nga_images/1181.jpg
1169,6be662bf-35bd-4738-a8f5-0ed146f54996,"https://api.nga.gov/iiif/6be662bf-35bd-4738-a8f5-0ed146f54996/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/6be662bf-35bd-4738-a8f5-0ed146f54996,Hut among Trees,Meindert Hobbema,"Hobbema, Meindert",c. 1664,1664.0,1664.0,1651 to 1700,oil on canvas,Painting,,painting,1942.9.30,8670,7796,,"Hobbema, Meindert",Dutch,Dutch,1638.0,1709.0,Baroque,landscape,/kaggle/working/nga_images/1169.jpg
1170,a7fa9b2d-301b-452e-877b-fb4a81b4f954,"https://api.nga.gov/iiif/a7fa9b2d-301b-452e-877b-fb4a81b4f954/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/a7fa9b2d-301b-452e-877b-fb4a81b4f954,The Travelers,Meindert Hobbema,"Hobbema, Meindert",166[2?],1662.0,1662.0,1651 to 1700,oil on canvas,Painting,,painting,1942.9.31,26459,18347,,"Hobbema, Meindert",Dutch,Dutch,1638.0,1709.0,Baroque,landscape,/kaggle/working/nga_images/1170.jpg
1171,17542e7c-e6cb-4010-b5d7-3a95ecb9cbe3,"https://api.nga.gov/iiif/17542e7c-e6cb-4010-b5d7-3a95ecb9cbe3/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/17542e7c-e6cb-4010-b5d7-3a95ecb9cbe3,Village near a Pool,Meindert Hobbema,"Hobbema, Meindert",c. 1670,1670.0,1670.0,1651 to 1700,oil on canvas,Painting,,painting,1942.9.32,9531,7260,,"Hobbema, Meindert",Dutch,Dutch,1638.0,1709.0,Baroque,landscape,/kaggle/working/nga_images/1171.jpg
1175,e9211c86-93b0-429f-8e58-d7232f2e125a,"https://api.nga.gov/iiif/e9211c86-93b0-429f-8e58-d7232f2e125a/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/e9211c86-93b0-429f-8e58-d7232f2e125a,Leonardo de' Ginori,Giuliano Bugiardini,"Bugiardini, Giuliano",c. 1528,1528.0,1528.0,1501 to 1550,oil on panel,Painting,,painting,1942.9.36,12418,16763,,"Bugiardini, Giuliano",Italian,Italian,1475.0,1554.0,Renaissance,portrait,/kaggle/working/nga_images/1175.jpg
1176,e064a5cd-ad93-48e1-bfab-b9edc6920baf,"https://api.nga.gov/iiif/e064a5cd-ad93-48e1-bfab-b9edc6920baf/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/e064a5cd-ad93-48e1-bfab-b9edc6920baf,Mrs. Robert Blencowe,Sir Thomas Lawrence,"Lawrence, Thomas, Sir",c. 1792,1792.0,1792.0,1776 to 1800,oil on canvas,Painting,,painting,1942.9.37,5325,6794,,"Lawrence, Thomas, Sir",British,British,1769.0,1830.0,,portrait,/kaggle/working/nga_images/1176.jpg
1178,37f339d0-4e3e-4c81-bfeb-45641be22274,"https://api.nga.gov/iiif/37f339d0-4e3e-4c81-bfeb-45641be22274/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/37f339d0-4e3e-4c81-bfeb-45641be22274,The Satyr and the Peasant,Johann Liss,"Liss, Johann",possibly c. 1623/1626,1623.0,1626.0,1601 to 1650,oil on canvas,Painting,,painting,1942.9.39,21749,17355,,"Liss, Johann",German,German,1597.0,1631.0,Baroque,secular,/kaggle/working/nga_images/1178.jpg
1231,be5b8763-bff0-4394-9e06-60fbbbd44356,"https://api.nga.gov/iiif/be5b8763-bff0-4394-9e06-60fbbbd44356/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/be5b8763-bff0-4394-9e06-60fbbbd44356,Marchesa Elena Grimaldi Cattaneo,Sir Anthony van Dyck,"Dyck, Anthony van, Sir",1623,1623.0,1623.0,1601 to 1650,oil on canvas,Painting,,painting,1942.9.92,18655,33059,,"Dyck, Anthony van, Sir",Flemish,Flemish,1599.0,1641.0,Baroque,portrait,/kaggle/working/nga_images/1231.jpg
1185,099e8599-3242-46f4-bf5d-1a2e6032eb13,"https://api.nga.gov/iiif/099e8599-3242-46f4-bf5d-1a2e6032eb13/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/099e8599-3242-46f4-bf5d-1a2e6032eb13,Two Women at a Window,Bartolomé Esteban Murillo,"Murillo, Bartolomé Esteban",c. 1655/1660,1655.0,1660.0,1651 to 1700,oil on canvas,Painting,,painting,1942.9.46,17385,20855,,"Murillo, Bartolomé Esteban",Spanish,Spanish,1617.0,1682.0,Baroque,portrait,/kaggle/working/nga_images/1185.jpg
1186,3c4d40ea-b148-4a1f-b0d8-840929cbb973,"https://api.nga.gov/iiif/3c4d40ea-b148-4a1f-b0d8-840929cbb973/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/3c4d40ea-b148-4a1f-b0d8-840929cbb973,Portrait of a Lady,Neroccio de' Landi,Neroccio de' Landi,c. 1485,1485.0,1485.0,1401 to 1500,tempera on pine panel,Painting,,painting,1942.9.47,18422,24719,,Neroccio de' Landi,Italian,Italian,1447.0,1500.0,Renaissance,portrait,/kaggle/working/nga_images/1186.jpg
1187,52696d03-a8ac-4c82-91b0-a277eec52dff,"https://api.nga.gov/iiif/52696d03-a8ac-4c82-91b0-a277eec52dff/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/52696d03-a8ac-4c82-91b0-a277eec52dff,The Cottage Dooryard,Adriaen van Ostade,"Ostade, Adriaen van",1673,1673.0,1673.0,1651 to 1700,oil on canvas,Painting,,painting,1942.9.48,5553,6151,,"Ostade, Adriaen van",Dutch,Dutch,1610.0,1685.0,Baroque,genre,/kaggle/working/nga_images/1187.jpg
1188,da90a6d9-9c5d-48aa-ab75-358d949e9978,"https://api.nga.gov/iiif/da90a6d9-9c5d-48aa-ab75-358d949e9978/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/da90a6d9-9c5d-48aa-ab75-358d949e9978,The Halt at the Inn,Isack van Ostade,"Ostade, Isack van",1645,1645.0,1645.0,1601 to 1650,oil on panel transferred to canvas,Painting,,painting,1942.9.49,7658,5720,,"Ostade, Isack van",Dutch,Dutch,1621.0,1649.0,Baroque,genre,/kaggle/working/nga_images/1188.jpg
